Key,en,es,ar,bn,tr
transaction Log,Transaction Log,Registro de Transacciones,سجل المعاملات,লেনদেন লগ,İşlem Günlüğü
two FA Security,2FA Security,Seguridad 2FA,أمان بخطوتين,2FA নিরাপত্তা,2FA Güvenliği
changePassword,Change Password,Cambiar Contraseña,تغيير كلمة المرور,পাসওয়ার্ড পরিবর্তন করুন,Şifre değiştir
help Center,Help Center,Centro de Ayuda,مركز المساعدة,সহায়তা কেন্দ্র,Yardım Merkezi
privacy AndPolicy,Privacy & Policy,Privacidad y Política,الخصوصية والسياسة,গোপনীয়তা এবং নীতি,Gizlilik ve Politika
aboutUs,About Us,Acerca de Nosotros,حولنا,আমাদের সম্পর্কে,Hakkımızda
signOut,Sign Out,Cerrar Sesión,تسجيل الخروج,সাইন আউট,Oturumu Kapat
amount,Amount,Cantidad,المبلغ,পরিমাণ,Miktar
preview Screen,Preview Screen,Pantalla de Vista Previa,شاشة المعاينة,প্রিভিউ স্ক্রীন,Önizleme Ekranı
preview,Preview,Vista Previa,معاينة,পূর্বরূপ,Önizleme
exchange Rate,Exchange Rate,Tipo de Cambio,سعر الصرف,বিনিময় হার,Döviz kuru
total Fees And Charges,Total Fees & Charges,Cargos y Tarifas Totales,إجمالي الرسوم والتكاليف,মোট ফি এবং চার্জ,Toplam Ücretler ve Masraflar
will Get,Will Get,Recibiré,سوف تحصل,পাবেন,Alacak
total Payable Amount,Total Payable Ammount,Cantidad Total a Pagar,المبلغ الإجمالي المستحق,মোট প্রদেয় পরিমাণ,Toplam Ödenecek Tutar
confirm,Confirm,Confirmar,تأكيد,নিশ্চিত করুন,Onaylamak
money Exchange,Money Exchange,Cambio de Dinero,تبادل الأموال,মানি এক্সচেঞ্জ,Döviz Bürosu
from,From,Desde,من,থেকে,İtibaren
from Slash,From/,Desde/,من شرطة مائلة,থেকে/,İtibaren/
to,To,A,إلى,প্রতি,İle
request Money,Request Money,Solicitar Dinero,طلب المال,টাকা অনুরোধ করুন,Para İsteği
remarks,Remarks,Observaciones,ملاحظات,মন্তব্য,Notlar
optional,Optional,Opcional,اختياري,ঐচ্ছিক,İsteğe bağlı
share Request Money,Share Request Money,Compartir Solicitud de Dinero,مشاركة طلب الأموال,শেয়ার অনুরোধ টাকা,Paylaşım Talebi Parası
share,Share,Compartir,مشاركة,শেয়ার করুন,Paylaşmak
available Balance,Available Balance,Saldo Disponible,الرصيد المتاح,উপলভ্য ব্যালেন্স,Mevcut Bakiye
receiver,Receiver,Receptor,المستلم,রিসিভার,Alıcı
profile Label,Profile,Perfil,تسمية الملف الشخصي,প্রোফাইল,Profil
full Name,Full Name,Nombre Completo,الاسم الكامل,পুরো নাম,Ad Soyad
country,Country,País,البلد,দেশ,Ülke
mobile Number,Mobile Number,Número de Teléfono Móvil,رقم الجوال,মোবাইল নম্বর,Cep numarası
state,State,Estado,الولاية,রাজ্য,Durum
city,City,Ciudad,المدينة,শহর,Şehir
zipCode,Zip Code,Código Postal,الرمز البريدي,জিপ কোড,Posta kodu
address,Address,Dirección,العنوان,ঠিকানা,Adres
update,Update,Actualizar,تحديث,আপডেট,Güncelleme
paid,Paid,Pagado,تم الدفع,পেড,Paralı
sent,Sent,Enviado,تم الإرسال,পাঠানো হয়েছে,Gönderilmiş
unPaid,UnPaid,No Pagado,لم يتم الدفع,আনপেইড,Ödenmemiş
invoice Number,Invoice Number,Número de Factura,رقم الفاتورة,চালান নম্বর,Fatura Numarası
invoice Date,Invoice Date,Fecha de Factura,تاريخ الفاتورة,চালানের তারিখ,Fatura Tarihi
currency,Currency,Moneda,العملة,মুদ্রা,Para birimi
pickGoods,Pick Goods,Seleccionar Productos,اختيار البضائع,পণ্য বাছাই,Malları Seçin
trick Goods,Trick Goods,Productos Trucados,اختيار البضائع,কৌশল পণ্য,Hileli Ürünler
form,From/,Desde/,النموذج,থেকে/,İtibaren/
total Bill,Total Bill,Total de la Factura,الفاتورة الإجمالية,মোট বিল,Toplam Fatura
create Invoice,Create Invoice,Crear Factura,إنشاء فاتورة,চালান তৈরি করুন,Fatura Oluştur
invoice To,Invoice To,Facturar a,إلى الفاتورة,চালান থেকে,Fatura Adresi
billing Address,Billing Address,Dirección de Facturación,عنوان الفواتير,বিলিং ঠিকানা,Fatura Adresi
notes,Notes,Notas,ملاحظات,নোট,Notlar
item Details,Item Details,Detalles del Artículo,تفاصيل العنصر,আইটেম বিবরণ,Ürün Ayrıntıları
client Name,Client Name,Nombre del Cliente,اسم العميل,ক্লায়েন্টের নাম,Müşteri Adı
addNew,Add New,Agregar Nuevo,إضافة جديد,নতুন যোগ করুন,Yeni Ekle
item Name,Item Name,Nombre del Artículo,اسم العنصر,আইটেমের নাম,Ürün Adı
voucher,Voucher,Vale,قسيمة,ভাউচার,Kupon
redeem,Redeem,Canjear,استبدال,খালাস,Kurtar
used,Used,Usado,تم استخدامها,ব্যবহৃত,Kullanılmış
not Used,Not Used,No Usado,غير مستخدمة,ব্যবহার করা হয়নি,Kullanılmıyor
name,Name,Nombre,الاسم,নাম,İsim
email,Email,Correo Electrónico,البريد الإلكتروني,ইমেইল,E-posta
phone,Phone,Teléfono,الهاتف,ফোন,Telefon
fees And Charge,Fees & Charge,Tarifas y Cargos,الرسوم والتكاليف,ফি এবং চার্জ,Ücretler ve Masraflar
status,Status,Estado,الحالة,স্ট্যাটাস,Durum
code,Code,Código,الرمز,কোড,Kod
create Voucher,Create Voucher,Crear Vale,إنشاء قسيمة,ভাউচার তৈরি করুন,Kupon Oluştur
confirm Redeem,Confirm Redeem,Confirmar Canjeo,تأكيد الاستبدال,রিডিম নিশ্চিত করুন,Onayla Kullan
redeem Code,Redeem Code,Código de Canjeo,رمز الاستبدال,কোড রিডিম করুন,Kodu Kullan
addMoney  Log,Add Money Log,Registro de Ingreso de Dinero,سجل إضافة المال,টাকা লগ যোগ করুন,Para Ekleme Günlüğü
money Out Log,Money Out Log,Registro de Retiros,سجل إخراج المال,মানি আউট লগ,Para Çıkış Günlüğü
exchange Log,Exchange Log,Registro de Cambio de Moneda,سجل التبادل,বিনিময় লগ,Borsa Günlüğü
request Log,Request Log,Registro de Solicitudes,سجل الطلب,অনুরোধ লগ,İstek Günlüğü
back To Home,Back To Home,Volver a Inicio,العودة إلى الصفحة الرئيسية,বাড়িতে ফিরে যান,Ana Sayfaya Dönüş
enable 2fa Security,Enable 2FA Security,Habilitar Seguridad 2FA,تمكين أمان خطوتين,2FA নিরাপত্তা সক্ষম করুন,2FA Güvenliğini Etkinleştirin
send Verification Code,Send Verification Code,Enviar Código de Verificación,إرسال رمز التحقق,যাচাইকরণ কোড পাঠান,Doğrulama Kodunu Gönder
individual,Individual,Individual,فردي,ব্যক্তি,Bireysel
business,Business,Negocio,تجاري,ব্যবসা,İşletme
middle Name,Middle Name,Segundo Nombre,الاسم الأوسط,মধ্য নাম,İkinci ad
userName,Username,Nombre de Usuario,اسم المستخدم,ব্যবহারকারীর নাম,Kullanıcı adı
postal Code,Postal Code,Código Postal,الرمز البريدي,পোস্টাল কোড,Posta Kodu
company Name,Company Name,Nombre de la Empresa,اسم الشركة,কোম্পানির নাম,Firma Adı
gender,Gender,Género,الجنس,লিঙ্গ,Cinsiyet
date Of Birth,Date of Birth,Fecha de Nacimiento,تاريخ الميلاد,জন্ম তারিখ,Doğum Tarihi
nationality,Nationality,Nacionalidad,الجنسية,জাতীয়তা,Milliyet
my Receipt,My Receipt,Mi Recibo,إيصالي,আমার রসিদ,Fişim
total Exchanged Amount,Total Exchanged Amount,Cantidad Total Cambiada,المبلغ المبادل الإجمالي,মোট বিনিময় পরিমাণ,Toplam Değiştirilen Tutar
converted Amount,Converted Amount,Cantidad Convertida,المبلغ المحول,রূপান্তরিত পরিমাণ,Dönüştürülen Tutar
requested Amount,Requested Amount,Cantidad Solicitada,المبلغ المطلوب,অনুরোধকৃত পরিমাণ,Talep Edilen Tutar
on Board Title,Secure Investment Platform,Plataforma de Inversión Segura,عنوان اللوحة,নিরাপদ বিনিয়োগ প্ল্যাটফর্ম,Güvenli Yatırım Platformu
on Board Description,By investing money you can easily earn through this system.,Al invertir dinero puedes ganar fácilmente a través de este sistema.,وصف اللوحة,অর্থ বিনিয়োগ করে আপনি সহজেই এই সিস্টেমের মাধ্যমে আয় করতে পারেন।,Bu sistem üzerinden paranızı yatırarak rahatlıkla kazanç elde edebilirsiniz.
welcome Text,Welcome to CyrpInvest,Bienvenido a CrypInvest,نص الترحيب,CyrpInvest স্বাগতম,CyrpInvest'e Hoş Geldiniz
welcome Subtitle Text,By investing money you can easily earn through this system.,Al invertir dinero puedes ganar fácilmente a través de este sistema.,نص العنوان الفرعي الترحيبي,অর্থ বিনিয়োগ করে আপনি সহজেই এই সিস্টেমের মাধ্যমে আয় করতে পারেন।,Bu sistem üzerinden paranızı yatırarak rahatlıkla kazanç elde edebilirsiniz.
sign In Subtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.",Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de tu información. Inicia sesión hoy y mantente conectado a tus finanzas en cualquier momento y lugar.,تسجيل الدخول العنوان الفرعي,আমাদের নিরাপদ লগইন প্রক্রিয়া আপনার তথ্যের গোপনীয়তা নিশ্চিত করে। আজই লগ ইন করুন এবং যেকোনো সময় এবং যে কোনো জায়গায় আপনার অর্থের সাথে সংযুক্ত থাকুন।,"Güvenli giriş sürecimiz, bilgilerinizin gizliliğini sağlar. Hemen giriş yapın ve finansal işlemlerinizle her zaman, her yerden bağlantıda kalın."
forgot Password,Forgot Password?,¿Olvidaste tu Contraseña?,نسيت كلمة المرور,পাসওয়ার্ড ভুলে গেছেন?,Parolanızı mı unuttunuz?
forgot Password Secondary,Forgot Password,Olvidé Contraseña,نسيت كلمة المرور الثانوية,পাসওয়ার্ড ভুলে গেছি,Parolanızı mı unuttunuz
do Not Have An Account,Don't have an account?,¿No tienes una cuenta?,ليس لديك حساب,একটি অ্যাকাউন্ট নেই?,Hesabınız yok mu?
enter Your Email To Reset Password,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps.,Toma el control de tu cuenta restableciendo tu contraseña. Nuestra página de recuperación de contraseña te guiará a través de los pasos necesarios.,أدخل بريدك الإلكتروني لإعادة تعيين كلمة المرور,আপনার পাসওয়ার্ড রিসেট করে আপনার অ্যাকাউন্টের নিয়ন্ত্রণ নিন। আমাদের পাসওয়ার্ড পুনরুদ্ধার পৃষ্ঠা প্রয়োজনীয় পদক্ষেপের মাধ্যমে আপনাকে গাইড করে।,"Şifrenizi sıfırlayarak hesabınızın kontrolünü elinize alın. Şifre kurtarma sayfamız, gerekli adımlarda size rehberlik edecektir."
verification Code,OTP Verification,Verificación OTP,رمز التحقق,OTP যাচাইকরণ,OTP Doğrulaması
enter Verification Code Text One,We sent a 6-digit code to your email,Hemos enviado un código de 6 dígitos a tu correo electrónico,أدخل نص رمز التحقق الأول,আমরা আপনার ইমেলে একটি 6-সংখ্যার কোড পাঠিয়েছি,E-postanıza 6 haneli bir kod gönderdik
google Code Here,Enter the google authentication code here,Ingresa el código de autenticación de Google aquí,رمز Google هنا,এখানে গুগল প্রমাণীকরণ কোড লিখুন,Google kimlik doğrulama kodunu buraya girin
resend Code,Resend Code,Reenviar Código,إعادة إرسال الرمز,কোড পুনরায় পাঠান,Kodu Yeniden Gönder
did Not Get Code,didn't get any code?,¿No recibiste ningún código?,لم تحصل على الرمز,কোন কোড পাননি?,Hiçbir kod alamadın mı?
reset Password Success Text,Your password has been successfully reset. Sign in again now.,Tu contraseña se ha restablecido con éxito. Inicia sesión de nuevo ahora.,نجاح إعادة تعيين كلمة المرور الجديدة,আপনার পাসওয়ার্ড সফলভাবে পুনরায় সেট করা হয়েছে. এখন আবার সাইন ইন করুন.,Şifreniz başarıyla sıfırlandı. Şimdi tekrar oturum açın.
enter New Password,Enter New Password,Ingresa Nueva Contraseña,أدخل كلمة المرور الجديدة,নতুন পাসওয়ার্ড দিন,Yeni Şifreyi Girin
enter Confirm Password,Enter Confirm Password,Confirma Contraseña,أدخل تأكيد كلمة المرور,কনফার্ম পাসওয়ার্ড দিন,Şifreyi Onayla'yı Girin
go To Sign In,Go To Sign In,Ir a Iniciar Sesión,انتقل إلى تسجيل الدخول,সাইন ইন করতে যান,Giriş Yapmaya Git
go To Dashboard,Go To Dashboard,Ir a Panel de Control,انتقل إلى لوحة المعلومات,ড্যাশবোর্ডে যান,Gösterge Tablosuna Git
sign Up Subtitle,Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Conviértete en parte de nuestra comunidad registrándote para una cuenta hoy. Disfruta de una variedad de beneficios y características diseñadas para satisfacer tus necesidades.,التسجيل العنوان الفرعي,আজই একটি অ্যাকাউন্টের জন্য নিবন্ধন করে আমাদের সম্প্রদায়ের একটি অংশ হয়ে উঠুন। আপনার প্রয়োজন মেটানোর জন্য তৈরি করা বিভিন্ন সুবিধা এবং বৈশিষ্ট্য উপভোগ করুন।,Bugün bir hesap oluşturarak topluluğumuzun bir parçası olun. İhtiyaçlarınıza özel olarak tasarlanmış çeşitli avantaj ve özelliklerin keyfini çıkarın.
enter Name,Enter Name,Ingresa Nombre,أدخل الاسم,নাম লিখুন,Adınızı Girin
already Have An Account,Already have an account?,¿Ya tienes una cuenta?,لديك بالفعل حساب,ইতিমধ্যে একটি অ্যাকাউন্ট আছে?,Zaten bir hesabınız var mı?
agreed With Terms,Terms of Use & Privacy Policy,Términos de Uso y Política de Privacidad,موافق على الشروط,ব্যবহারের শর্তাবলী এবং গোপনীয়তা নীতি,Kullanım Şartları ve Gizlilik Politikası
terms,Terms of Use & Privacy Policy,Términos de Uso y Política de Privacidad,الشروط,ব্যবহারের শর্তাবলী এবং গোপনীয়তা নীতি,Kullanım Şartları ve Gizlilik Politikası
agree With,I have agreed with,He acordado con,موافق على,আমি সঙ্গে একমত,Ben kabul ettim
sign Up Success Text,Your account has been create successfully. Thanks for using CrypInvest.,Tu cuenta se ha creado correctamente. Gracias por usar CrypInvest.,نجاح التسجيل,আপনার অ্যাকাউন্ট সফলভাবে তৈরি করা হয়েছে. CrypInvest ব্যবহার করার জন্য ধন্যবাদ.,Hesabınız başarıyla oluşturuldu. CrypInvest'i kullandığınız için teşekkür ederiz.
my Invest,My Invest,Mi Inversión,استثماري,আমার বিনিয়োগ,Benim Yatırımım
profit Log,Profit Log,Registro de Ganancias,سجل الأرباح,লাভ লগ,Kar Günlüğü
settings,Settings,Configuración,الإعدادات,সেটিংস,Ayarlar
users Name,Admeral Vison,Admeral Vison,اسم المستخدم,অ্যাডমেরাল ভিসন,Amiral Vison
kyc Verification,KYC Verification,Verificación KYC,التحقق KYC,কেওয়াইসি যাচাইকরণ,KYC Doğrulaması
change Language,Change Language,Cambiar Idioma,تغيير اللغة,ভাষা পরিবর্তন করুন,Dili Değiştir
delete Account,Delete Account,Eliminar Cuenta,حذف الحساب,অ্যাকাউন্ট মুছুন,Hesabı Sil
iD Type,ID Type,Tipo de ID,نوع الهوية,আইডি টাইপ,Kimlik Türü
select Id Type,Select ID Type,Seleccionar Tipo de ID,اختر نوع الهوية,আইডি টাইপ নির্বাচন করুন,Kimlik Türünü Seçin
enable Two FA Security,Enable 2FA Security,Habilitar Seguridad 2FA,تمكين أمان خطوتين,2FA নিরাপত্তা সক্ষম করুন,2FA Güvenliğini Etkinleştirin
enable Two FA Security Subtitle,We'll ask for a verification code via your security method if we notice a sign in from an unrecognized device or browser. Enable your 2FA Security.,Solicitaremos un código de verificación a través de tu método de seguridad si notamos un inicio de sesión desde un dispositivo o navegador no reconocido. Habilita tu Seguridad 2FA.,تمكين أمان خطوتين العنوان الفرعي,যদি আমরা একটি অচেনা ডিভাইস বা ব্রাউজার থেকে সাইন ইন লক্ষ্য করি তাহলে আমরা আপনার নিরাপত্তা পদ্ধতির মাধ্যমে একটি যাচাইকরণ কোড চাইব৷ আপনার 2FA নিরাপত্তা সক্ষম করুন।,"Tanınmayan bir cihazdan veya tarayıcıdan oturum açıldığını fark edersek, güvenlik yönteminiz aracılığıyla bir doğrulama kodu isteyeceğiz. 2FA Güvenliğinizi etkinleştirin."
invest Plan,Invest Plan,Plan de Inversión,خطة الاستثمار,বিনিয়োগ পরিকল্পনা,Yatırım Planı
Add Money,Add Money,Agregar Dinero,إيداع المال,টাকা যোগ করুন,Para Ekle
money Transfer,Money Transfer,Transferir Dinero,تحويل الأموال,মানি ট্রান্সফার,Para Transferi
uSD,USD,USD,دولار أمريكي,মার্কিন ডলার,Amerikan Doları
limit,Limit:,Límite:,الحد,সীমা:,Sınır:
rate,Rate:,Tarifa:,السعر,হার:,Oran:
add Money Congratulation Subtitle,Your money has been added successfully. Thanks for using CrypInvest.,Tu dinero se ha agregado con éxito. Gracias por usar CrypInvest.,تهانينا على إيداع المال العنوان الفرعي,আপনার টাকা সফলভাবে যোগ করা হয়েছে. CrypInvest ব্যবহার করার জন্য ধন্যবাদ.,Paranız başarıyla eklendi. CrypInvest'i kullandığınız için teşekkür ederiz.
entered Amount,Entered Amount,Cantidad Ingresada,المبلغ المدخل,পরিমাণ প্রবেশ করান,Girilen Tutar
amount Information,Amount Information,Información de la Cantidad,معلومات المبلغ,পরিমাণ তথ্য,Miktar Bilgileri
enter Amount,Enter Amount,Ingresa la Cantidad,أدخل المبلغ,পরিমাণ লিখুন,Tutarı Girin
youWill Get,You Will Get,Recibirás,ستحصل على,আপনি পাবেন,Alacaksın
total Payable,Total Payable,Total a Pagar,المجموع المستحق,মোট প্রদেয়,Toplam Ödenecek Tutar
charges,charges,cargos,الرسوم,চার্জ,suçlamalar
money Out Congratulation Subtitle,Your money has been out successfully. Thanks for using CrypInvest.,Tu dinero se ha retirado con éxito. Gracias por usar CrypInvest.,تهانينا على سحب الأموال العنوان الفرعي,আপনার টাকা সফলভাবে আউট হয়েছে. CrypInvest ব্যবহার করার জন্য ধন্যবাদ.,Paranız başarıyla çekildi. CrypInvest'i kullandığınız için teşekkürler.
sending Amount,Sending Amount,Cantidad a Enviar,المبلغ المرسل,পাঠানোর পরিমাণ,Gönderim Tutarı
enter Sending Amount,Enter Sending Amount,Ingresa la Cantidad a Enviar,أدخل المبلغ المرسل,পাঠানোর পরিমাণ লিখুন,Gönderim Tutarını Girin
receiver Email Address,Receiver Email Address,Dirección de Correo Electrónico del Receptor,عنوان البريد الإلكتروني للمستلم,রিসিভার ইমেল ঠিকানা,Alıcı E-posta Adresi
receiver Information,Receiver Information,Información del Receptor,معلومات المستلم,রিসিভার তথ্য,Alıcı Bilgileri
enter Receiver Email Address,Enter Receiver Email Address,Ingresa la Dirección de Correo Electrónico del Receptor,أدخل عنوان البريد الإلكتروني للمستلم,রিসিভার ইমেল ঠিকানা লিখুন,Alıcı E-posta Adresini Girin
profile update,Your money has been transfer successfully. Thanks for using CrypInvest.,Tu dinero se ha transferido con éxito. Gracias por usar CrypInvest.,تحديث الملف الشخصي,আপনার টাকা সফলভাবে স্থানান্তর করা হয়েছে. CrypInvest ব্যবহার করার জন্য ধন্যবাদ.,Paranız başarıyla transfer edildi. CrypInvest'i kullandığınız için teşekkür ederiz.
cornel,cornel,cornel,الحصى,কর্নেল,kızılcık
ari chart,Arichart,Arichart,مخطط الأسعار,আরিচার্ট,Arichart
phone Number,Phone Number,Número de Teléfono,رقم الهاتف,ফোন নম্বর,Telefon Numarası
enter City,Enter City,Ingresa la Ciudad,أدخل المدينة,শহরে প্রবেশ করুন,Şehir Girin
enter State,Enter State,Ingresa el Estado,أدخل الولاية,রাজ্যে প্রবেশ করুন,Duruma Girin
enter Address,Enter Address,Ingresa la Dirección,أدخل العنوان,ঠিকানা লিখুন,Adresi Girin
enter ZipCode,Enter ZipCode,Ingresa el Código Postal,أدخل الرمز البريدي,জিপকোড লিখুন,Posta Kodunu Girin
update Profile,Update Profile,Actualizar Perfil,تحديث الملف الشخصي,প্রোফাইল আপডেট করুন,Profili Güncelle
choose Plan,Choose Plan,Seleccionar Plan,اختر خطة,পরিকল্পনা নির্বাচন করুন,Plan Seçin
investment,Investment,Inversión,الاستثمار,বিনিয়োগ,Yatırım
proceed,Proceed,Continuar,متابعة,এগিয়ে যান,İlerlemek
no,No,No,لا,না,HAYIR
yes,Yes,Sí,نعم,হ্যাঁ,Evet
investment Amount,Investment Amount,Cantidad de Inversión,مبلغ الاستثمار,বিনিয়োগের পরিমাণ,Yatırım Tutarı
enter Investment Amount,Enter investment amount,Ingresa la Cantidad de Inversión,أدخل مبلغ الاستثمار,বিনিয়োগের পরিমাণ লিখুন,Yatırım tutarını girin
term And Condition,I have agreed with Terms & Conditions,He acordado con los Términos y Condiciones,الشروط والأحكام,আমি শর্তাবলীর সাথে একমত হয়েছি,Şartlar ve Koşullar'ı kabul ettim
goto My Invest,Go To My Invest,Ir a Mi Inversión,الانتقال إلى استثماري,আমার বিনিয়োগে যান,Yatırımıma Git
my Invest Congratulation,Your investment plan has been purchase successfully. Thanks for using CrypInvest.,Tu plan de inversión se ha comprado con éxito. Gracias por usar CrypInvest.,تهانينا على استثماري,আপনার বিনিয়োগ পরিকল্পনা সফলভাবে কেনা হয়েছে. CrypInvest ব্যবহার করার জন্য ধন্যবাদ.,Yatırım planınız başarıyla satın alındı. CrypInvest'i kullandığınız için teşekkür ederiz.
accept Terms,please accept our Terms of Use & Privacy Policy for create account,"Por favor, acepta nuestros Términos de Uso y Política de Privacidad para crear una cuenta",قبول الشروط,অ্যাকাউন্ট তৈরি করার জন্য আমাদের ব্যবহারের শর্তাবলী এবং গোপনীয়তা নীতি গ্রহণ করুন,Lütfen hesap oluşturmak için Kullanım Şartlarımızı ve Gizlilik Politikamızı kabul edin
do YouSign Out,Do you Want to Sign Out from this Device?,¿Deseas cerrar la sesión en este dispositivo?,هل ترغب في تسجيل الخروج؟,আপনি কি এই ডিভাইস থেকে সাইন আউট করতে চান?,Bu Cihazdan Çıkış Yapmak İstiyor musunuz?
sign Out Alert,Sign Out Alert,Alerta de Cierre de Sesión,تنبيه تسجيل الخروج,সাইন আউট সতর্কতা,Çıkış Uyarısı
select Country,Select country,Seleccionar país,اختر البلد,দেশ নির্বাচন করুন,Ülkeyi seçin
maximum Invest,Maximum Investment,Inversión Máxima,الحد الأقصى للإستثمار,সর্বোচ্চ বিনিয়োগ,Maksimum Yatırım
fixed Profit,Fixed Profit,Beneficio Fijo,الربح الثابت,স্থায়ী লাভ,Sabit Kâr
percentage Profit,Percentage Profit,Beneficio Porcentaje,نسبة الربح,শতাংশ লাভ,Yüzde Kar
minimum Profit,Minimum Invest,Inversión Mínima,الحد الأدنى للربح,ন্যূনতম বিনিয়োগ,Minimum Yatırım
profit Return Type,profit_return_type,profit_return_type,نوع عائد الربح,লাভ_রিটার্ন_টাইপ,kar_getiri_türü
just Click To Try This,Just Click To Try This,Solo Haz Clic Para Intentarlo,ما عليك سوى النقر لتجربته,শুধু এটি চেষ্টা করার জন্য ক্লিক করুন,Denemek İçin Tıklayın
duration,Duration,Duración,المدة,সময়কাল,Süre
profit Return,Profit Return Type,Tipo de Retorno de Beneficios,عائد الربح,লাভ রিটার্ন টাইপ,Kar Getiri Türü
days,Days,Días,أيام,দিন,Günler
profit,Profit,Beneficio,ربح,লাভ,Kâr
pending,Pending,Pendiente,معلق,মুলতুবি,Askıda olması
rejected,Rejected,Rechazado,مرفوض,প্রত্যাখ্যাত,Reddedilmiş
success,Success,Éxito,نجاح,সফলতা,Başarı
verified,Verified,Verificado,تم التحقق,যাচাই করা হয়েছে,Doğrulandı
updateKYC,Update KYC,Actualizar KYC,تحديث KYC,KYC আপডেট করুন,KYC'yi güncelle
empty Status,No Data Found!,No se encontraron datos.,الحالة فارغة,কোন তথ্য পাওয়া যায়নি!,Veri Bulunamadı!
paypal,Paypal Screen,Pantalla de Paypal,بايبال,পেপ্যাল স্ক্রিন,Paypal Ekranı
coinGate,CoinGate Screen,Pantalla de CoinGate,كوين جيت,কয়েনগেট স্ক্রিন,CoinGate Ekranı
manual Input,Manual screen,Pantalla Manual,إدخال يدوي,ম্যানুয়াল পর্দা,Manuel ekran
please Follow The Limit,Please! Follow the Limit.,¡Por favor! Sigue el Límite.,يرجى اتباع الحد,দয়া করে! সীমা অনুসরণ করুন।,Lütfen! Sınırı Takip Edin.
evidence Note,Evidence Note,Nota de Prueba,ملاحظة الدليل,প্রমাণ নোট,Kanıt Notu
image Path Required,Image path is required,Se requiere la ruta de la imagen,مطلوب مسار الصورة,ইমেজ পাথ প্রয়োজন,Görüntü yolu gerekli
no Wallet,No wallet,Sin monedero,لا توجد محفظة,মানিব্যাগ নেই,Cüzdan yok
alert,Alert,Alerta,تنبيه,সতর্কতা,Uyarı
success Snack,Success,Éxito,نجاح الوجبة,সফলতা,Başarı
dismiss,Dismiss,Descartar,تجاهل,খারিজ,Azletmek
Welcome To,Welcome To,Bienvenido a,مرحبًا بك في,স্বাগতম,Hoş Geldiniz
Admin Panel,Admin Panel,Panel de Administración,لوحة الإدارة,অ্যাডমিন প্যানেল,Yönetici Paneli
Setup Currency,Setup Currency,Configurar Moneda,إعداد العملة,সেটআপ মুদ্রা,Kurulum Para Birimi
Fees & Charges,Fees & Charges,Tarifas y Cargos,الرسوم والرسوم,ফি এবং চার্জ,Ücretler ve Masraflar
Subscribers,Subscribers,Suscriptores,المشتركون,সাবস্ক্রাইবার,Aboneler
Contact Messages,Contact Messages,Mensajes de Contacto,رسائل الاتصال,যোগাযোগ বার্তা,İletişim Mesajları
Investment Plan,Investment Plan,Plan de Inversión,خطط الاستثمار,বিনিয়োগ পরিকল্পনা,Yatırım Planı
Add Money Logs,Add Money Logs,Registros de Agregar Dinero,سجلات إيداع الأموال,টাকা লগ যোগ করুন,Para Kayıtları Ekle
Pending Logs,Pending Logs,Registros Pendientes,سجلات معلقة,মুলতুবি লগ,Bekleyen Günlükler
Completed Logs,Completed Logs,Registros Completados,سجلات مكتملة,সম্পন্ন লগ,Tamamlanmış Günlükler
Canceled Logs,Canceled Logs,Registros Cancelados,سجلات ملغاة,বাতিল লগ,İptal Edilen Günlükler
All Logs,All Logs,Todos los Registros,جميع السجلات,সমস্ত লগ,Tüm Günlükler
Money Out Logs,Money Out Logs,Registros de Retiro de Dinero,سجلات سحب الأموال,মানি আউট লগ,Para Çıkış Kayıtları
Money Transfer Logs,Money Transfer Logs,Registros de Transferencia de Dinero,سجلات تحويل الأموال,মানি ট্রান্সফার লগ,Para Transferi Kayıtları
Invest Profit Logs,Invest Profit Logs,Registros de Ganancias de Inversión,سجلات ربح الاستثمار,লাভ লগ বিনিয়োগ,Yatırım Kar Kayıtları
User Care,User Care,Atención al Usuario,رعاية المستخدم,ইউজার কেয়ার,Kullanıcı Bakımı
Active Users,Active Users,Usuarios Activos,المستخدمون النشطون,সক্রিয় ব্যবহারকারী,Aktif Kullanıcılar
Email Unverified,Email Unverified,Correo Electrónico no Verificado,البريد الإلكتروني غير المتحقق,ইমেল যাচাই করা হয়নি,E-posta Doğrulanmadı
KYC Unverified,KYC Unverified,KYC no Verificado,KYC غير المتحقق,কেওয়াইসি যাচাই করা হয়নি,KYC Doğrulanmadı
All Users,All Users,Todos los Usuarios,جميع المستخدمين,সমস্ত ব্যবহারকারী,Tüm Kullanıcılar
Email To Users,Email To Users,Enviar Correo Electrónico a los Usuarios,البريد إلى المستخدمين,ব্যবহারকারীদের ইমেল,Kullanıcılara E-posta
Banned Users,Banned Users,Usuarios Baneados,المستخدمون المحظورون,নিষিদ্ধ ব্যবহারকারী,Yasaklı Kullanıcılar
Admin Care,Admin Care,Atención al Administrador,رعاية المسؤول,অ্যাডমিন কেয়ার,İdari Bakım
All Admin,All Admin,Todos los Administradores,جميع المسؤولين,সকল এডমিন,Tüm Yönetici
